"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
2.365,4,3,985.655,985.655,0,34,7,3,5
0,4,1,824.52,824.52,0,38,7,4,1
6.89,2,1,271.925,336.925,0,54,6,8,12
0,2,1,611.49,611.49,0,64,7,3,2
0,3,1,496.04,496.04,0,64,7,5,4
1.445,4,1,266.53,266.53,0,70,7,5,10
110.795,1,2,794.28,800.030512820513,0,53,4,4,7
0,3,1,403.18,418.179067061916,0,64,5,8,6
0,1,1,88.782,209.697846148296,0,79,2,12,7
24,2,1,1112.51,1112.51,0,72,10,3,2
0,1,1,108.05,194.175657384669,0,57,4,12,2
0.8,3,2,2067.18,2067.18,0,57,6,5,2
0,2,1,897.97,897.97,0,50,6,6,2
0,3,2,292.36,298.847564102564,0,42,6,8,8
0,1,1,701.64,711.213761614077,0,32,4,3,3
0,2,2,170,200.846359973644,0,30,4,9,11
2.395,2,2,1009.0425,1009.0425,0,23,5,3,3
0,2,1,926.0475,926.0475,0,69,5,12,7
3.25,4,2,461.42,605.810384615385,0,37,6,4,6
0,1,2,930.62,936.533373397436,0,59,5,3,1
0,1,1,888.3,893.710024038461,0,40,4,2,8
0,1,2,149.042,256.772044988118,0,80,4,12,2
0,1,2,509.4,520.705208333333,0,78,8,12,7
0,2,2,517.605,517.605,0,34,7,2,2
5.495,2,1,502.724,502.724,0,79,5,12,6
3.49,2,2,186.24,317.875706617397,0,35,4,4,8
0,3,3,862.106,862.106,0,63,7,12,8
0,2,1,704.454,704.454,0,76,8,12,9
0,2,1,299.889,299.889,0,65,5,12,10
0,1,2,246.85,335.645251735595,0,80,3,12,5
0,1,1,328.4625,341.398642250199,0,66,6,7,9
1.29,1,2,514.077,519.597705128205,0,73,5,4,5
0,6,1,2134.09,2134.09,0,47,10,5,8
5.1,3,2,1697.72,1697.72,0,41,7,2,11
0,4,2,423.32,514.560543500335,0,32,5,8,6
0.095,3,1,633.89,656.89,0,36,5,8,5
1.795,2,2,1942.76,1942.76,0,65,8,3,8
8.48,2,1,496.372,496.372,0,64,5,12,11
60.54,3,1,877.596,877.596,0,67,5,8,6
2.86,4,2,919.435,919.435,0,40,5,6,4
3.425,2,1,403.804,403.804,0,70,4,12,8
0.24,5,3,495.79,495.79,0,27,4,6,3
0.96,2,3,395.674,395.674,0,72,7,12,6
4.435,3,2,213.675,223.295,0,45,6,12,12
4.15,4,1,1240.52,1240.52,0,52,6,6,8
32.5,4,2,884.125,884.125,0,31,6,6,8
0.095,3,2,516.26,516.26,0,50,6,7,8
2.045,3,3,481.412,481.412,0,67,5,12,7
0.19,2,2,795.06,795.06,0,50,6,3,2
14.595,1,1,263.69,337.363841245301,0,80,4,12,2
3.61,1,2,732.36,739.7990625,0,38,5,3,8
0.65,1,2,184.525,299.411601234402,0,61,4,12,9
25.25,2,2,765.47,765.47,0,61,5,8,2
30,2,1,627.487,627.487,0,66,6,12,8
5.27,6,1,2134.09,2134.09,0,48,9,4,3
0,2,1,405.83,416.558234680758,0,80,5,12,8
15.485,2,1,647.3,647.3,0,64,6,3,6
